Selection;Block;AP;Cage;Courtship_beginning_mn;Courtship_beginning_s;COURTSHIP_BEGINNING
Cg-PT;1;PT1;Cg1A;2;30;150
Cg-PT;1;PT1;Cg1A;2;47;167
Cg-PT;1;PT1;Cg1A;7;23;443
Cg-PT;1;PT1;Cg1A;10;22;622
Cg-PT;1;PT1;Cg1A;10;53;653
Cg-PT;1;PT1;Cg1B;2;17;137
Cg-PT;1;PT1;Cg1B;5;20;320
Cg-PT;1;PT1;Cg1B;7;44;464
Cg-PT;1;PT1;Cg1B;8;12;492
Cg-PT;1;PT1;Cg1B;10;55;655
Cg-PT;2;PT2;Cg2A;2;32;152
Cg-PT;2;PT2;Cg2A;3;7;187
Cg-PT;2;PT2;Cg2A;11;23;683
Cg-PT;2;PT2;Cg2A;12;55;775
Cg-PT;2;PT2;Cg2A;14;52;892
Cg-PT;2;PT2;Cg2B;14;33;873
Cg-PT;2;PT2;Cg2B;34;45;2085
Cg-PT;2;PT2;Cg2B;37;16;2236
Cg-PT;2;PT2;Cg2B;43;18;2598
Cg-PT;2;PT2;Cg2B;45;9;2709
Cg-PT;3;PT3;Cg3A;2;23;143
Cg-PT;3;PT3;Cg3A;6;9;369
Cg-PT;3;PT3;Cg3A;6;39;399
Cg-PT;3;PT3;Cg3A;13;13;793
Cg-PT;3;PT3;Cg3A;17;51;1071
Cg-PT;3;PT3;Cg3B;1;37;97
Cg-PT;3;PT3;Cg3B;1;55;115
Cg-PT;3;PT3;Cg3B;8;1;481
Cg-PT;3;PT3;Cg3B;10;22;622
Cg-PT;3;PT3;Cg3B;11;34;694
PT;1;PT1;PT1A;1;13;73
PT;1;PT1;PT1A;1;22;82
PT;1;PT1;PT1A;1;45;105
PT;1;PT1;PT1A;2;52;172
PT;1;PT1;PT1A;3;6;186
PT;1;PT1;PT1B;3;5;185
PT;1;PT1;PT1B;4;41;281
PT;1;PT1;PT1B;8;18;498
PT;1;PT1;PT1B;10;5;605
PT;1;PT1;PT1B;11;2;662
PT;2;PT2;PT2A;4;12;252
PT;2;PT2;PT2A;4;41;281
PT;2;PT2;PT2A;6;12;372
PT;2;PT2;PT2A;8;7;487
PT;2;PT2;PT2A;9;16;556
PT;2;PT2;PT2B;2;16;136
PT;2;PT2;PT2B;3;12;192
PT;2;PT2;PT2B;18;32;1112
PT;2;PT2;PT2B;26;14;1574
PT;2;PT2;PT2B;26;42;1602
PT;3;PT3;PT3A;2;42;162
PT;3;PT3;PT3A;3;11;191
PT;3;PT3;PT3A;3;35;215
PT;3;PT3;PT3A;4;20;260
PT;3;PT3;PT3A;13;12;792
PT;3;PT3;PT3B;0;55;55
PT;3;PT3;PT3B;1;27;87
PT;3;PT3;PT3B;4;2;242
PT;3;PT3;PT3B;4;16;256
PT;3;PT3;PT3B;5;9;309
