Selection;Block;AP;Cage;Mating_beginning_mn;Mating_beginning_s;Mating_end_mn;Mating_end_s;MATING_BEGINNING;MATING_END;MATING_DURATION
Cg-PT;1;PT1;Cg1A;3;9;13;29;189;809;620
Cg-PT;1;PT1;Cg1A;13;30;28;14;810;1694;884
Cg-PT;1;PT1;Cg1A;20;23;24;48;1223;1488;265
Cg-PT;1;PT1;Cg1A;26;13;45;57;1573;2757;1184
Cg-PT;1;PT1;Cg1A;27;52;47;36;1672;2856;1184
Cg-PT;1;PT1;Cg1A;35;59;54;14;2159;3254;1095
Cg-PT;1;PT1;Cg1A;42;17;46;45;2537;2805;268
Cg-PT;1;PT1;Cg1A;53;25;65;43;3205;3943;738
Cg-PT;1;PT1;Cg1A;63;32;86;24;3812;5184;1372
Cg-PT;1;PT1;Cg1A;63;34;78;23;3814;4703;889
Cg-PT;1;PT1;Cg1B;13;18;25;38;798;1538;740
Cg-PT;1;PT1;Cg1B;27;32;37;8;1652;2228;576
Cg-PT;1;PT1;Cg1B;41;6;49;44;2466;2984;518
Cg-PT;1;PT1;Cg1B;42;56;49;5;2576;2945;369
Cg-PT;1;PT1;Cg1B;43;24;62;7;2604;3727;1123
Cg-PT;1;PT1;Cg1B;70;0;83;31;4200;5011;811
Cg-PT;1;PT1;Cg1B;72;10;84;25;4330;5065;735
Cg-PT;1;PT1;Cg1B;78;55;92;12;4735;5532;797
Cg-PT;2;PT2;Cg2A;11;23;19;43;683;1183;500
Cg-PT;2;PT2;Cg2A;14;57;28;3;897;1683;786
Cg-PT;2;PT2;Cg2A;17;23;30;1;1043;1801;758
Cg-PT;2;PT2;Cg2A;20;12;33;44;1212;2024;812
Cg-PT;2;PT2;Cg2A;25;29;31;46;1529;1906;377
Cg-PT;2;PT2;Cg2A;25;48;33;57;1548;2037;489
Cg-PT;2;PT2;Cg2A;28;40;40;46;1720;2446;726
Cg-PT;2;PT2;Cg2A;63;9;72;43;3789;4363;574
Cg-PT;2;PT2;Cg2A;63;57;71;22;3837;4282;445
Cg-PT;2;PT2;Cg2A;74;40;82;14;4480;4934;454
