Rack;vial;Selection;EnvDensity;AP;TotaleggsF4;FemalesF4;TotaleggsF5;FemalesF5;TotaleggsF6;FemalesF6;TotaleggsF9;FemalesF9;MeanOfEggsF_4;MeanOfEggsF_5;MeanOfEggsF_6;MeanOfEggsF_9;MeanOfEggs_F
1A;2;PT;L;PT1;0;1;28;1;55;1;27;1;0;28;55;27;27,5
1A;1;Cg-PT;L;PT1;41;1;22;1;42;1;26;1;41;22;42;26;32,75
1A;3;Cg-PT;H;PT1;74;10;174;10;161;10;130;10;7,4;17,4;16,1;13;13,475
1A;4;PT;H;PT1;58;10;128;10;193;10;106;10;5,8;12,8;19,3;10,6;12,125
1A;5;Cg-PT;L;PT1;0;1;51;1;21;1;9;1;0;51;21;9;20,25
1A;6;PT;L;PT1;0;1;43;1;42;1;26;1;0;43;42;26;27,75
1A;7;Cg-PT;L;PT1;6;1;54;1;46;1;25;1;6;54;46;25;32,75
1A;8;PT;L;PT1;3;1;26;1;41;1;34;1;3;26;41;34;26
1A;9;Cg-PT;H;PT1;65;10;151;10;176;10;143;10;6,5;15,1;17,6;14,3;13,375
1A;10;PT;H;PT1;57;10;194;10;141;10;54;10;5,7;19,4;14,1;5,4;11,15
1A;11;Cg-PT;L;PT1;19;1;34;1;54;1;40;1;19;34;54;40;36,75
1A;12;PT;L;PT1;15;1;11;1;11;1;NA;NA;15;11;11;NA;NA
1A;13;Cg-PT;L;PT1;27;1;1;1;32;1;26;1;27;1;32;26;21,5
1A;14;PT;L;PT1;4;1;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA
1A;15;Cg-PT;H;PT1;164;10;296;10;224;10;106;10;16,4;29,6;22,4;10,6;19,75
1A;16;PT;H;PT1;39;10;173;10;67;10;46;10;3,9;17,3;6,7;4,6;8,125
1A;17;Cg-PT;L;PT1;0;1;25;1;17;1;34;1;0;25;17;34;19
1A;18;PT;L;PT1;39;1;32;1;51;1;13;1;39;32;51;13;33,75
1A;19;Cg-PT;L;PT1;16;1;48;1;24;1;37;1;16;48;24;37;31,25
1A;20;PT;L;PT1;0;1;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA
1C;1;PT;L;PT1;0;1;0;1;2;1;NA;NA;0;0;2;NA;NA
1C;2;Cg-PT;L;PT1;1;1;51;1;49;1;13;1;1;51;49;13;28,5
1C;3;PT;L;PT1;17;1;52;1;40;1;10;1;17;52;40;10;29,75
1C;4;Cg-PT;H;PT1;97;10;215;10;195;10;51;10;9,7;21,5;19,5;5,1;13,95
1C;5;Cg-PT;H;PT1;82;10;126;10;220;10;159;10;8,2;12,6;22;15,9;14,675
1C;6;PT;L;PT1;0;1;40;1;47;1;36;1;0;40;47;36;30,75
1C;7;PT;L;PT1;23;1;35;1;50;1;36;1;23;35;50;36;36
1C;8;Cg-PT;L;PT1;6;1;49;1;40;1;39;1;6;49;40;39;33,5
1C;9;PT;L;PT1;0;1;43;1;43;1;20;1;0;43;43;20;26,5
1C;10;Cg-PT;H;PT1;100;10;158;10;166;10;99;10;10;15,8;16,6;9,9;13,075
1C;11;Cg-PT;H;PT1;113;10;136;10;140;10;167;10;11,3;13,6;14;16,7;13,9
1C;12;PT;L;PT1;0;1;0;1;NA;NA;NA;NA;0;0;NA;NA;NA
1C;13;PT;L;PT1;0;1;0;1;0;1;53;1;0;0;0;53;13,25
1C;14;Cg-PT;L;PT1;26;1;40;1;33;1;24;1;26;40;33;24;30,75
1C;15;PT;L;PT1;0;1;61;1;24;1;0;1;0;61;24;0;21,25
1C;16;Cg-PT;H;PT1;45;10;108;10;117;10;117;10;4,5;10,8;11,7;11,7;9,675
1C;17;Cg-PT;H;PT1;89;10;128;10;153;10;93;10;8,9;12,8;15,3;9,3;11,575
1C;18;PT;L;PT1;0;1;40;1;35;1;22;1;0;40;35;22;24,25
1C;19;PT;L;PT1;0;1;57;1;0;1;27;1;0;57;0;27;21
1C;20;Cg-PT;L;PT1;28;1;23;1;28;1;NA;1;28;23;28;NA;NA
1B;1;Cg-PT;L;PT1;19;1;35;1;44;1;53;1;19;35;44;53;37,75
1B;2;PT;L;PT1;27;1;33;1;47;1;34;1;27;33;47;34;35,25
1B;3;PT;L;PT1;47;1;42;1;47;1;23;1;47;42;47;23;39,75
1B;4;Cg-PT;L;PT1;0;1;0;1;0;1;22;1;0;0;0;22;5,5
1B;5;PT;H;PT1;96;9;239;9;116;9;117;8;10,66666667;26,55555556;12,88888889;14,625;16,18402778
1B;6;Cg-PT;H;PT1;99;10;246;10;206;10;95;10;9,9;24,6;20,6;9,5;16,15
1B;7;Cg-PT;L;PT1;21;1;39;1;26;1;26;1;21;39;26;26;28
1B;8;PT;L;PT1;0;1;24;1;39;1;24;1;0;24;39;24;21,75
1B;9;PT;L;PT1;0;1;37;1;51;1;17;1;0;37;51;17;26,25
1B;10;Cg-PT;L;PT1;4;1;53;1;46;1;32;1;4;53;46;32;33,75
1B;11;PT;H;PT1;14;10;170;10;190;10;137;9;1,4;17;19;15,22222222;13,15555556
1B;12;Cg-PT;H;PT1;40;10;140;10;133;10;69;7;4;14;13,3;9,857142857;10,28928571
1B;13;Cg-PT;L;PT1;1;1;56;1;15;1;8;1;1;56;15;8;20
1B;14;PT;L;PT1;0;1;0;1;NA;NA;NA;NA;0;0;NA;NA;NA
1B;15;PT;L;PT1;3;1;43;1;37;1;18;1;3;43;37;18;25,25
